incident_number,call_type,incident_date,location,beat,reporting_district,received_time,cleared_time,disposition,latitude,longitude,:@computed_region_28yu_qtqf,:@computed_region_a96n_jaww,map_point.latitude,map_point.longitude
220027324,Defrauding Inkeeper Just Occurred,2022-03-22T00:00:00.000,1500BLK OCEAN AVE ,B001,0B1L,2022-03-22T21:40:45.000,2022-03-22T22:00:29.000,Advisal,34.012088541579821,-118.49565711760555,368,15,34.0120885415798,-118.495657117606
220027314,Suspicious Vehicle,2022-03-22T00:00:00.000,19TH ST / WILSHIRE BLVD ,B003,0B3A,2022-03-22T21:13:38.000,2022-03-22T21:55:06.000,Advisal,34.030611501119054,-118.48411606682628,364,7,34.0306115011191,-118.484116066826
220027316,Urinating/Defecating in Public,2022-03-22T00:00:00.000,1000BLK 9TH ST ,B004,0B4E,2022-03-22T21:16:57.000,2022-03-22T21:53:47.000,Advisal,34.025001787722594,-118.49597938842948,365,7,34.0250017877226,-118.495979388429
220027296,Traffic/Vehicle Stop,2022-03-22T00:00:00.000,1500BLK PACIFIC COAST HWY ,B001,0B1C,2022-03-22T20:03:58.000,2022-03-22T21:32:42.000,Citation/Oth Enforcement,34.012106701794984,-118.49702656588592,368,15,34.012106701795,-118.497026565886
220027313,Periodic Check,2022-03-22T00:00:00.000,600BLK SANTA MONICA BLVD ,B001,0B1J,2022-03-22T21:08:35.000,2022-03-22T21:23:15.000,Advisal,34.018329475118719,-118.49278831921336,368,15,34.0183294751187,-118.492788319213
220027301,Traffic Collision with Injuries,2022-03-22T00:00:00.000,900BLK PACIFIC COAST HWY,B001,0B1B,2022-03-22T20:24:53.000,2022-03-22T21:17:34.000,Assist,34.019872978756688,-118.50621266122322,365,6,34.0198729787567,-118.506212661223
220027315,Pedestrian Stop,2022-03-22T00:00:00.000,4TH ST / ARIZONA AVE,B001,0B1K,2022-03-22T21:14:34.000,2022-03-22T21:16:00.000,Checks Okay,34.01775614275806,-118.49671300585931,368,15,34.0177561427581,-118.496713005859
220027306,Trespassing,2022-03-22T00:00:00.000,1900BLK STEWART ST,B003,0B3F,2022-03-22T20:32:11.000,2022-03-22T21:09:14.000,Advisal,34.026896707762,-118.46361547764184,364,13,34.026896707762,-118.463615477642
220027309,Status Check,2022-03-22T00:00:00.000,2000BLK OCEAN AVE ,B001,0B1F,2022-03-22T21:03:55.000,2022-03-22T21:07:17.000,Cancelled,34.006421941545227,-118.48995931991027,363,16,34.0064219415452,-118.48995931991
220027299,Trespassing,2022-03-22T00:00:00.000,1400BLK PRINCETON ST ,B003,0B3A,2022-03-22T20:12:27.000,2022-03-22T21:06:49.000,Advisal,34.033345064423251,-118.47264690309106,364,11,34.0333450644233,-118.472646903091
