incident_number,call_type,incident_date,location,beat,reporting_district,received_time,cleared_time,disposition,latitude,longitude,:@computed_region_28yu_qtqf,:@computed_region_a96n_jaww,map_point.latitude,map_point.longitude
220027267,Information Received Report,2022-03-22T00:00:00.000,400BLK SANTA MONICA PIER,B001,0B1D,2022-03-22T18:24:15.000,2022-03-22T19:05:41.000,Report,34.009354307851595,-118.49742272450328,368,15,34.0093543078516,-118.497422724503
220027271,Report of Shots Fired,2022-03-22T00:00:00.000,2300BLK OAK ST,B002,0B2E,2022-03-22T18:40:38.000,2022-03-22T19:03:05.000,Gone on Arrival,34.014478115296363,-118.46125372880938,363,20,34.0144781152964,-118.461253728809
220027243,Grand Theft Auto Report,2022-03-22T00:00:00.000,300BLK 25TH ST ,B004,0B4A,2022-03-22T17:20:14.000,2022-03-22T18:54:20.000,Cancelled,34.046538779136505,-118.49139522201753,366,2,34.0465387791365,-118.491395222018
220027266,Traffic/Vehicle Stop,2022-03-22T00:00:00.000,1400BLK OCEAN AVE ,B001,0B1L,2022-03-22T18:19:56.000,2022-03-22T18:48:55.000,Citation/Oth Enforcement,34.013424290562163,-118.49722259970113,368,15,34.0134242905622,-118.497222599701
220027253,Disturbance at a Business,2022-03-22T00:00:00.000,1500BLK 2ND ST ,B001,0B1L,2022-03-22T17:40:07.000,2022-03-22T18:48:54.000,Gone on Arrival,34.012873236045223,-118.49469210243443,368,15,34.0128732360452,-118.494692102434
220027269,Municipal Code Violation,2022-03-22T00:00:00.000,1300BLK 14TH ST ,B003,0B3A,2022-03-22T18:28:33.000,2022-03-22T18:46:51.000,Advisal,34.024749793151628,-118.48647536861191,364,8,34.0247497931516,-118.486475368612
220027268,Person Down,2022-03-22T00:00:00.000,400BLK SANTA MONICA PIER,B001,0B1D,2022-03-22T18:24:48.000,2022-03-22T18:25:58.000,Assist,34.009354307851595,-118.49742272450328,368,15,34.0093543078516,-118.497422724503
220027258,Animal Related Incident,2022-03-22T00:00:00.000,100BLK HOLLISTER AVE,B001,0B1E,2022-03-22T17:50:22.000,2022-03-22T18:24:52.000,Checks Okay,34.003486341266083,-118.48720106833932,363,16,34.0034863412661,-118.487201068339
220027262,Violation of Preferential Parking Zone,2022-03-22T00:00:00.000,1100BLK 16TH ST,B004,0B4E,2022-03-22T18:00:44.000,2022-03-22T18:18:30.000,Citation/Oth Enforcement,34.029001612525015,-118.48776081846044,365,7,34.029001612525,-118.48776081846
220027252,Assistance Call,2022-03-22T00:00:00.000,200BLK PICO BLVD ,B002,0B2A,2022-03-22T17:37:45.000,2022-03-22T18:17:23.000,Assist,34.008448904124492,-118.48896294608151,368,16,34.0084489041245,-118.488962946082
