incident_number,call_type,incident_date,location,beat,reporting_district,received_time,cleared_time,disposition,latitude,longitude,:@computed_region_28yu_qtqf,:@computed_region_a96n_jaww,map_point.latitude,map_point.longitude
220027261,Medical Emergency,2022-03-22T00:00:00.000,300BLK SANTA MONICA PIER ,B001,0B1D,2022-03-22T17:58:54.000,2022-03-22T18:16:55.000,POPULATED BY CAD,34.010123810591431,-118.4964788421285,368,15,34.0101238105914,-118.496478842128
220027251,Disturbance of the Peace,2022-03-22T00:00:00.000,300BLK 22ND ST,B004,0B4A,2022-03-22T17:37:43.000,2022-03-22T18:11:24.000,Gone on Arrival,34.043944703100067,-118.49333307414098,366,2,34.0439447031001,-118.493333074141
220027254,Defrauding Inkeeper In Progress,2022-03-22T00:00:00.000,200BLK WILSHIRE BLVD ,B001,0B1K,2022-03-22T17:46:22.000,2022-03-22T18:07:35.000,Advisal,34.017284421143756,-118.49892793939503,368,15,34.0172844211438,-118.498927939395
220027225,Theft Suspect in Custody,2022-03-22T00:00:00.000,200BLK BROADWAY ,B001,0B1K,2022-03-22T16:30:15.000,2022-03-22T18:04:33.000,Other,34.01459498434302,-118.49578232066014,368,15,34.014594984343,-118.49578232066
220027257,Periodic Check,2022-03-22T00:00:00.000,1400BLK 2ND ST ,B001,0B1K,2022-03-22T17:49:57.000,2022-03-22T18:03:44.000,Checks Okay,34.014209804153182,-118.49625540985947,368,15,34.0142098041532,-118.496255409859
220027249,Animal Related Incident,2022-03-22T00:00:00.000,2000BLK 4TH ST,B002,0B2A,2022-03-22T17:34:34.000,2022-03-22T17:59:06.000,Other,34.008533755588857,-118.48610523849972,363,16,34.0085337555889,-118.4861052385
220027259,Traffic Hazard,2022-03-22T00:00:00.000,20TH ST / INTERSTATE 10 ,B003,0B3D,2022-03-22T17:51:41.000,2022-03-22T17:56:00.000,Other,34.023270091543282,-118.47369618981605,364,14,34.0232700915433,-118.473696189816
220027246,Assistance Call,2022-03-22T00:00:00.000,1600BLK 11TH ST ,B003,0B3C,2022-03-22T17:28:22.000,2022-03-22T17:40:58.000,Assist,34.018250328078693,-118.48440250237277,364,14,34.0182503280787,-118.484402502373
220027233,Municipal Code Violation,2022-03-22T00:00:00.000,2400BLK WILSHIRE BLVD ,B004,0B4F,2022-03-22T16:54:19.000,2022-03-22T17:37:02.000,Gone on Arrival,34.0346975845201,-118.47907519901709,365,9,34.0346975845201,-118.479075199017
220027232,Expired Registration,2022-03-22T00:00:00.000,2700BLK 11TH ST,B002,0B2B,2022-03-22T16:54:07.000,2022-03-22T17:35:52.000,Impound,34.007300597131156,-118.47267382822994,363,19,34.0073005971312,-118.47267382823
