incident_number,call_type,incident_date,location,beat,reporting_district,received_time,cleared_time,disposition,latitude,longitude,:@computed_region_28yu_qtqf,:@computed_region_a96n_jaww,map_point.latitude,map_point.longitude
220027279,Municipal Code Violation,2022-03-22T00:00:00.000,1500BLK PACIFIC COAST HWY ,B001,0B1C,2022-03-22T19:12:41.000,2022-03-22T19:26:32.000,Assist,34.012106701794984,-118.49702656588592,368,15,34.012106701795,-118.497026565886
220027260,Petty Theft Report,2022-03-22T00:00:00.000,1800BLK 34TH ST,B003,0B3F,2022-03-22T17:56:02.000,2022-03-22T19:24:28.000,Report,34.029470094945275,-118.45746478026648,364,13,34.0294700949453,-118.457464780266
220027280,Lewd Activity,2022-03-22T00:00:00.000,OCEAN AVE / MARGUERITA AVE,B001,0B1O,2022-03-22T19:14:02.000,2022-03-22T19:21:29.000,Gone on Arrival,34.024734570369581,-118.5111090530304,366,5,34.0247345703696,-118.51110905303
220027274,Suspicious Person,2022-03-22T00:00:00.000,1100BLK PRINCETON ST ,B004,0B4F,2022-03-22T18:52:38.000,2022-03-22T19:21:20.000,Gone on Arrival,34.037432400859771,-118.47728022707393,365,9,34.0374324008598,-118.477280227074
220027272,Medical Emergency,2022-03-22T00:00:00.000,1500BLK OCEAN AVE,B001,0B1L,2022-03-22T18:49:05.000,2022-03-22T19:21:19.000,Assist,34.012088541579821,-118.49565711760555,368,15,34.0120885415798,-118.495657117606
220027278,Status Check,2022-03-22T00:00:00.000,1400BLK BROADWAY,B003,0B3B,2022-03-22T19:03:23.000,2022-03-22T19:20:11.000,Gone on Arrival,34.023124894963736,-118.48365384655939,364,12,34.0231248949637,-118.483653846559
220027277,Medical Emergency,2022-03-22T00:00:00.000,300BLK SANTA MONICA PIER ,B001,0B1D,2022-03-22T18:55:09.000,2022-03-22T19:19:59.000,POPULATED BY CAD,34.010123810591431,-118.4964788421285,368,15,34.0101238105914,-118.496478842128
220027276,Periodic Check,2022-03-22T00:00:00.000,1500BLK 4TH ST ,B001,0B1I,2022-03-22T18:54:45.000,2022-03-22T19:13:43.000,Checks Okay,34.014404131618193,-118.49279993798227,368,15,34.0144041316182,-118.492799937982
220027270,Suspicious Person,2022-03-22T00:00:00.000,15TH ST / WASHINGTON AVE ,B004,0B4E,2022-03-22T18:31:31.000,2022-03-22T19:09:33.000,Advisal,34.030279109158158,-118.49109665984356,365,3,34.0302791091582,-118.491096659844
220027245,Sexual Assault,2022-03-22T00:00:00.000,2200BLK PIER AVE ,B002,0B2C,2022-03-22T17:23:19.000,2022-03-22T19:08:29.000,Report,34.011347120137145,-118.46041152648027,363,20,34.0113471201371,-118.46041152648
